"id","private","size","nace","region","single_shift"
"j_1",0,"L","P","30",FALSE
"j_2",0,"L","O","14",TRUE
"j_3",0,"L","O","04",TRUE
"j_4",0,"L","O","24",TRUE
"j_5",0,"L","O","04",TRUE
"j_6",1,"L","C","28",FALSE
"j_7",1,"L","H","22",FALSE
"j_8",0,"L","P","32",TRUE
"j_9",0,"L","P","32",TRUE
"j_10",0,"L","Q","10",FALSE
"j_11",0,"M","Q","24",FALSE
"j_12",0,"M","I","30",FALSE
"j_13",0,"L","P","20",TRUE
"j_14",0,"L","Q","12",TRUE
"j_15",0,"L","P","24",FALSE
"j_16",0,"L","Q","08",TRUE
"j_17",0,"L","Q","02",FALSE
"j_18",0,"L","Q","30",TRUE
"j_19",0,"L","Q","20",FALSE
"j_20",0,"L","Q","16",TRUE
"j_21",0,"L","Q","14",FALSE
"j_22",0,"L","Q","04",FALSE
"j_23",0,"L","Q","14",TRUE
"j_24",0,"L","O","24",TRUE
"j_25",0,"L","Q","12",FALSE
"j_26",0,"L","Q","10",FALSE
"j_27",0,"L","Q","26",FALSE
"j_28",0,"L","Q","16",FALSE
"j_29",0,"L","O","02",FALSE
"j_30",0,"L","O","02",TRUE
"j_31",1,"L","G","18",FALSE
"j_32",1,"L","G","18",FALSE
"j_33",1,"S","K.L","14",TRUE
"j_34",1,"L","C","22",TRUE
"j_35",1,"L","C","10",TRUE
"j_36",1,"L","C","28",FALSE
"j_37",1,"L","N","18",TRUE
"j_38",1,"L","K.L","22",TRUE
"j_39",1,"L","K.L","22",TRUE
"j_40",1,"L","K.L","18",FALSE
"j_41",1,"L","K.L","14",FALSE
"j_42",1,"L","K.L","08",TRUE
"j_43",1,"L","K.L","22",TRUE
"j_44",0,"L","O","04",FALSE
"j_45",0,"L","O","32",FALSE
"j_46",0,"L","O","24",FALSE
"j_47",0,"L","O","28",TRUE
"j_48",0,"L","O","30",FALSE
"j_49",0,"L","O","08",TRUE
"j_50",0,"L","Q","14",FALSE
"j_51",0,"L","M","24",TRUE
"j_52",1,"L","C","12",FALSE
"j_53",0,"L","O","16",TRUE
"j_54",0,"L","O","14",TRUE
"j_55",0,"L","O","06",TRUE
"j_56",0,"L","O","04",FALSE
"j_57",0,"L","H","30",FALSE
"j_58",0,"L","H","26",FALSE
"j_59",1,"L","C","24",FALSE
"j_60",0,"L","Q","14",FALSE
"j_61",0,"L","Q","24",FALSE
"j_62",0,"L","P","28",TRUE
"j_63",0,"L","P","10",TRUE
"j_64",0,"L","P","14",TRUE
"j_65",1,"L","K.L","22",TRUE
"j_66",1,"L","C","10",FALSE
"j_67",1,"L","G","24",FALSE
"j_68",0,"L","Q","22",FALSE
"j_69",1,"L","G","12",FALSE
"j_70",1,"L","G","18",FALSE
"j_71",0,"L","N","04",TRUE
"j_72",0,"L","P","22",TRUE
"j_73",0,"L","M","32",FALSE
"j_74",1,"L","G","20",FALSE
"j_75",1,"M","K.L","08",TRUE
"j_76",1,"L","C","04",TRUE
"j_77",1,"L","C","30",FALSE
"j_78",1,"L","C","22",FALSE
"j_79",1,"L","C","24",FALSE
"j_80",1,"L","F","26",TRUE
"j_81",0,"L","H","12",FALSE
"j_82",1,"L","F","10",TRUE
"j_83",1,"M","C","18",TRUE
"j_84",1,"L","C","06",TRUE
"j_85",0,"L","Q","32",FALSE
"j_86",0,"L","Q","32",TRUE
"j_87",1,"L","F","04",TRUE
"j_88",0,"L","Q","02",TRUE
"j_89",0,"L","M","02",TRUE
"j_90",1,"M","K.L","14",TRUE
"j_91",0,"L","Q","14",FALSE
"j_92",0,"L","Q","14",FALSE
"j_93",1,"L","C","32",FALSE
"j_94",1,"L","C","20",FALSE
"j_95",1,"L","N","24",FALSE
"j_96",1,"L","G","14",FALSE
"j_97",1,"L","G","14",FALSE
"j_98",0,"L","P","14",TRUE
"j_99",1,"L","G","14",TRUE
"j_100",0,"L","Q","24",FALSE
"j_101",0,"L","P","14",FALSE
"j_102",0,"L","H","14",FALSE
"j_103",1,"L","H","14",FALSE
"j_104",1,"L","H","14",FALSE
"j_105",1,"L","G","14",FALSE
