"state","st","pct_djt_voters","cces_totdjt_vv","cces_pct_djt_vv","cces_pct_djtrund_vv","votes_djt","tot_votes","cces_n_vv","vap","vep"
"Alabama","AL",0.620830923644091,159,0.407692307692308,0.428205128205128,1318255,2123372,390,3770142,3601361
"Alaska","AK",0.512815120775373,22,0.305555555555556,0.319444444444444,163387,318608,72,555367,519849
"Arizona","AZ",0.48671616472321,372,0.42320819112628,0.444823663253697,1252401,2573165,879,5331034,4734313
"Arkansas","AR",0.605741021638283,117,0.416370106761566,0.434163701067616,684872,1130635,281,2286625,2142571
"California","CA",0.316171065384394,899,0.285396825396825,0.305396825396825,4483810,14181595,3150,30201571,25017408
"Colorado","CO",0.43251397371431,232,0.349924585218703,0.3710407239819,1202484,2780220,663,4305728,3966297
"Connecticut","CT",0.409269143788148,111,0.294429708222812,0.318302387267904,673215,1644920,377,2821935,2561555
"Delaware","DE",0.419228243393193,50,0.328947368421053,0.348684210526316,185127,441590,152,749872,689125
"District of Columbia","DC",0.0408747445930838,5,0.0574712643678161,0.0689655172413793,12723,311268,87,562329,511463
"Florida","FL",0.490219414165907,1107,0.40313182811362,0.422068463219228,4617886,9420039,2746,16565588,14572210
"Georgia","GA",0.510487191661171,404,0.390338164251208,0.408695652173913,2089104,4092373,1035,7828207,6955436
"Hawaii","HI",0.300386770085117,31,0.295238095238095,0.352380952380952,128847,428937,105,1120465,1016971
"Idaho","ID",0.592614323691969,75,0.378787878787879,0.409090909090909,409055,690255,198,1253925,1167200
"Illinois","IL",0.387617530738253,413,0.279054054054054,0.301351351351351,2146015,5536424,1480,9866799,8943045
"Indiana","IN",0.569400334484113,317,0.372941176470588,0.402352941176471,1557286,2734958,850,5063393,4852657
"Iowa","IA",0.51147327224046,155,0.340659340659341,0.364835164835165,800983,1566031,455,2406915,2290215
"Kansas","KS",0.566545818058396,120,0.385852090032154,0.411575562700965,671018,1184402,311,2192423,2051750
"Kentucky","KY",0.625196385519001,229,0.452569169960474,0.478260869565217,1202971,1924149,506,3430652,3276651
"Louisiana","LA",0.580886846535688,148,0.427745664739884,0.447976878612717,1178638,2029032,346,3571652,3380951
"Maine","ME",0.448697533315417,64,0.30622009569378,0.330143540669856,335593,747927,209,1078037,1060905
"Maryland","MD",0.339093047285477,176,0.263079222720478,0.276532137518685,943169,2781446,669,4670900,4176484
"Massachusetts","MA",0.328083581400077,190,0.241730279898219,0.248091603053435,1090893,3325046,786,5442458,4947241
"Michigan","MI",0.474975642199961,400,0.319488817891374,0.345846645367412,2279543,4799284,1252,7744567,7423233
"Minnesota","MN",0.449247880935054,208,0.307237813884786,0.330871491875923,1322951,2944813,677,4240423,3966155
"Mississippi","MS",0.579410380888356,71,0.360406091370558,0.370558375634518,700714,1209357,197,2268089,2176312
"Missouri","MO",0.567723478381617,305,0.367913148371532,0.384800965018094,1594511,2808605,829,4710784,4511812
"Montana","MT",0.561684974464293,52,0.416,0.448,279240,497147,125,817702,804381
"Nebraska","NE",0.587473511271258,85,0.363247863247863,0.401709401709402,495961,844227,234,1436437,1349903
"Nevada","NV",0.455006953176024,128,0.327365728900256,0.340153452685422,512058,1125385,391,2276281,1964097
"New Hampshire","NH",0.464672824857087,82,0.358078602620087,0.362445414847162,345790,744158,229,1076739,1042102
"New Jersey","NJ",0.413503866500295,298,0.323210412147505,0.343817787418655,1601933,3874046,922,6959892,6042792
"New Mexico","NM",0.400424392284779,78,0.327731092436975,0.369747899159664,319666,798318,238,1591069,1456551
"New York","NY",0.365155884520698,565,0.271504084574724,0.292647765497357,2819534,7721453,2081,15557982,13591250
"North Carolina","NC",0.498280946961804,382,0.331597222222222,0.358506944444444,2362631,4741564,1152,7880013,7318442
"North Dakota","ND",0.629556278313393,28,0.373333333333333,0.386666666666667,216794,344360,75,581188,565031
"Ohio","OH",0.516876506757862,596,0.353919239904988,0.373515439429929,2841005,5496487,1684,9007953,8737173
"Oklahoma","OK",0.653228648196274,151,0.448071216617211,0.468842729970326,949136,1452992,337,2965905,2773970
"Oregon","OR",0.390940351844968,196,0.307210031347962,0.335423197492163,782403,2001336,638,3244277,3012502
"Pennsylvania","PA",0.48577885803746,805,0.380614657210402,0.404728132387707,2970733,6115402,2115,10108486,9701644
"Rhode Island","RI",0.388980574993967,25,0.255102040816327,0.275510204081633,180543,464144,98,848975,786033
"South Carolina","SC",0.549393326856954,202,0.415637860082305,0.432098765432099,1155389,2103027,486,3883145,3706769
"South Dakota","SD",0.615307503789588,36,0.4,0.422222222222222,227721,370093,90,653841,632989
"Tennessee","TN",0.607220336942146,283,0.450636942675159,0.476114649681529,1522925,2508027,628,5164969,4899384
"Texas","TX",0.522346855793354,823,0.378390804597701,0.405057471264368,4685047,8969226,2175,20671564,17396296
"Utah","UT",0.455380359368233,83,0.273927392739274,0.353135313531353,515231,1131430,303,2144784,1995987
"Vermont","VT",0.302694347551473,15,0.2,0.226666666666667,95369,315067,75,506048,494879
"Virginia","VA",0.44427647013924,353,0.321786690975387,0.347310847766636,1769443,3982752,1097,6551390,6027262
"Washington","WA",0.363005415902573,256,0.291240045506257,0.31740614334471,1221747,3365644,879,5691833,5121782
"West Virginia","WV",0.686305748116194,106,0.486238532110092,0.504587155963303,489371,713051,218,1453201,1425962
"Wisconsin","WI",0.472181845673101,253,0.31585518102372,0.34207240948814,1405284,2976150,801,4495783,4288320
"Wyoming","WY",0.681726330765412,23,0.410714285714286,0.428571428571429,174419,255849,56,446396,428283
