"id","private","size","nace","region","weight"
"j_1",0,"L","O","14",1
"j_2",0,"L","O","24",6
"j_3",0,"L","R.S","14",1
"j_4",0,"L","R.S","14",1
"j_5",0,"L","R.S","22",1
"j_6",0,"M","R.S","26",1
"j_7",0,"L","R.S","12",1
"j_8",0,"M","R.S","18",1
"j_9",0,"L","R.S","14",1
"j_10",0,"L","R.S","02",1
"j_11",0,"L","R.S","14",1
"j_12",0,"L","P","12",1
"j_13",0,"L","P","10",1
"j_14",0,"L","P","02",1
"j_15",0,"L","P","04",1
"j_16",0,"L","P","04",1
"j_17",0,"L","P","24",1
"j_18",0,"L","P","14",1
"j_19",0,"L","P","10",1
"j_20",0,"L","P","30",1
"j_21",0,"L","P","12",1
"j_22",0,"L","P","14",1
"j_23",0,"L","O","14",1
"j_24",0,"L","K.L","14",1
"j_25",0,"L","O","14",1
"j_26",0,"L","O","06",1
"j_27",0,"L","O","04",1
"j_28",0,"L","O","24",1
"j_29",0,"L","O","08",1
"j_30",0,"L","O","30",1
"j_31",0,"L","O","24",1
"j_32",0,"L","O","02",1
"j_33",0,"L","O","30",1
"j_34",0,"L","O","32",1
"j_35",0,"L","O","22",1
"j_36",0,"L","O","12",1
"j_37",0,"L","O","14",1
"j_38",0,"L","O","28",1
"j_39",0,"L","O","14",1
"j_40",0,"L","O","12",1
"j_41",0,"L","O","10",1
"j_42",0,"L","O","32",1
"j_43",0,"L","O","06",1
"j_44",0,"L","O","26",1
"j_45",0,"L","O","30",1
"j_46",0,"L","O","04",1
"j_47",0,"L","O","22",1
"j_48",0,"L","O","30",1
"j_49",0,"L","O","14",1
"j_50",1,"L","C","18",2
"j_51",0,"L","M","24",2
"j_52",0,"L","D.E","24",1
"j_53",0,"M","I","24",1
"j_54",0,"L","M","24",1
"j_55",1,"L","C","12",1
"j_56",1,"L","C","24",1
"j_57",0,"L","C","22",1
"j_58",0,"L","M","14",1
"j_59",1,"L","C","10",18
"j_60",0,"L","M","14",1
